iter	MultiRMSE
0	0.01135024255
1	0.01134639652
2	0.01134110109
3	0.01133624935
4	0.01133319817
5	0.01132900911
6	0.01132341416
7	0.01131347895
8	0.01130810999
9	0.01130441103
10	0.0112998983
11	0.01129556058
12	0.01128947054
13	0.0112849757
14	0.01128301478
15	0.01127622398
16	0.01127457112
17	0.0112696455
18	0.01126005529
19	0.01125350192
20	0.01125167343
21	0.01124848245
22	0.01124351053
23	0.01123994298
24	0.01123912539
25	0.0112363699
26	0.01123100476
27	0.01122776985
28	0.01122343839
29	0.01121900367
30	0.01121635922
31	0.01121193324
32	0.01120425011
33	0.01119941071
34	0.01119512273
35	0.01118674175
36	0.01118251234
37	0.01118018974
38	0.01117484465
39	0.01117001841
40	0.01116702115
41	0.01116531839
42	0.01116151073
43	0.01115656594
44	0.01114890654
45	0.01114569937
46	0.01114105538
47	0.01113902803
48	0.01113445378
49	0.01113118843
50	0.0111255829
51	0.01112161302
52	0.01111741359
53	0.01111441685
54	0.01110968709
55	0.01110683754
56	0.01110375755
57	0.01110065024
58	0.01109736523
59	0.01109334203
60	0.01108947446
61	0.01108756126
62	0.01108279471
63	0.01107650119
64	0.01107092784
65	0.01106766148
66	0.01106424465
67	0.01106247497
68	0.01105959625
69	0.01105731466
70	0.01105257688
71	0.01104942387
72	0.01104650362
73	0.01104124223
74	0.01103702169
75	0.01103444887
76	0.01103023589
77	0.01102656684
78	0.01102197278
79	0.01101797715
80	0.01101451691
81	0.01100942157
82	0.0110053449
83	0.01099705665
84	0.01098994745
85	0.01098564294
86	0.01098287938
87	0.01097804788
88	0.01097162591
89	0.0109659467
90	0.01096246987
91	0.01095673565
92	0.01094841667
93	0.01094493375
94	0.01094105604
95	0.01093829317
96	0.01093732829
97	0.01093293359
98	0.01092981138
99	0.01092795147
100	0.01092427962
101	0.01092200931
102	0.01091752411
103	0.01091182403
104	0.01090774765
105	0.01090532421
106	0.01090399168
107	0.01089996933
108	0.01089519103
109	0.01089267977
110	0.01088793227
111	0.01088329818
112	0.0108803991
113	0.01087646205
114	0.01087328346
115	0.01086908461
116	0.01086444701
117	0.01085880421
118	0.01085476766
119	0.01085228049
120	0.0108493335
121	0.0108461889
122	0.01083810894
123	0.01083634838
124	0.01083238694
125	0.01082478364
126	0.01081933242
127	0.01081581959
128	0.01081233537
129	0.01080914108
130	0.01080459187
131	0.01080364608
132	0.01080029867
133	0.01079483467
134	0.01079065294
135	0.0107871509
136	0.01078510228
137	0.01078145337
138	0.01077648546
139	0.01076974286
140	0.01076612364
141	0.01076099296
142	0.01075822012
143	0.01074908214
144	0.01074377824
145	0.01074292725
146	0.01074072151
147	0.01073526471
148	0.01073180548
149	0.01072946223
150	0.01072817982
151	0.01072499593
152	0.01072172265
153	0.01071811274
154	0.01071648185
155	0.01071426283
156	0.01071130454
157	0.01070840687
158	0.01070429479
159	0.01069923266
160	0.01069777502
161	0.01069247759
162	0.01068851445
163	0.01068681949
164	0.01068456484
165	0.0106766269
166	0.01067223226
167	0.01066761099
168	0.01066238279
169	0.01066081271
170	0.01065923712
171	0.01065818682
172	0.01065282018
173	0.0106496792
174	0.01064517635
175	0.01064312006
176	0.0106395817
177	0.01063228129
178	0.0106260005
179	0.01062392578
180	0.01062116116
181	0.01061789344
182	0.01061467218
183	0.01061120683
184	0.0106039719
185	0.01059887334
186	0.01059749662
187	0.01059488454
188	0.0105920491
189	0.01058977731
190	0.01058828619
191	0.0105838259
192	0.01058187912
193	0.01057494517
194	0.01057357523
195	0.01057136677
196	0.01056967445
197	0.01056681107
198	0.01056343718
199	0.01056153141
200	0.01056057137
201	0.01055801022
202	0.01055522375
203	0.01055124068
204	0.0105478415
205	0.01054537405
206	0.01054235176
207	0.010538284
208	0.01053557549
209	0.0105336428
210	0.01053150721
211	0.01052811532
212	0.01052484013
213	0.01052349287
214	0.01052127614
215	0.01051664465
216	0.01051494717
217	0.01050963265
218	0.01050543731
219	0.01050262353
220	0.01049978757
221	0.01049533363
222	0.01049307667
223	0.01048849773
224	0.01048658285
225	0.01048247207
226	0.01047954616
227	0.01047778908
228	0.01047583623
229	0.01047362509
230	0.01047135572
231	0.01046909703
232	0.01046668173
233	0.01046134187
234	0.01045648569
235	0.01045389792
236	0.01045027228
237	0.01044714805
238	0.01044471852
239	0.01044027472
240	0.01043726288
241	0.01043353452
242	0.01042960067
243	0.01042811818
244	0.01042546983
